CUPS;Fecha;Hora;Consumo;GGG
AAA;13/09/2021;3;0.18;
AAA;13/09/2021;4;0.181;
AAA;13/09/2021;5;0.17;
AAA;13/09/2021;6;0.16;
AAA;13/09/2021;7;0.242;
AAA;13/09/2021;8;0.311;
AAA;13/09/2021;9;0.196;
AAA;13/09/2021;10;0.171;
AAA;13/09/2021;11;0.172;
AAA;13/09/2021;12;0.234;
AAA;13/09/2021;13;0.284;
AAA;13/09/2021;14;0.633;
AAA;13/09/2021;15;0.317;
AAA;13/09/2021;16;0.239;
AAA;13/09/2021;17;0.183;
AAA;13/09/2021;18;0.228;
AAA;13/09/2021;19;0.256;
AAA;13/09/2021;20;0.21;
AAA;13/09/2021;21;0.765;
AAA;13/09/2021;22;0.346;
AAA;13/09/2021;23;0.331;
AAA;13/09/2021;24;0.203;
AAA;14/09/2021;1;0.079;
AAA;14/09/2021;2;0.15;
AAA;14/09/2021;3;0.212;
AAA;14/09/2021;4;0.185;
AAA;14/09/2021;5;0.123;
AAA;14/09/2021;6;0.135;
AAA;14/09/2021;7;1.362;
AAA;14/09/2021;8;0.181;
AAA;14/09/2021;9;0.214;
AAA;14/09/2021;10;3.771;
AAA;14/09/2021;11;3.678;
AAA;14/09/2021;12;3.671;
AAA;14/09/2021;13;3.724;
AAA;14/09/2021;14;3.861;
AAA;14/09/2021;15;4.134;
AAA;14/09/2021;16;0.191;
AAA;14/09/2021;17;0.231;
AAA;14/09/2021;18;0.595;
AAA;14/09/2021;19;0.672;
AAA;14/09/2021;20;0.643;
AAA;14/09/2021;21;0.766;
AAA;14/09/2021;22;0.696;
AAA;14/09/2021;23;0.472;
AAA;14/09/2021;24;0.324;
AAA;15/09/2021;1;0.565;
AAA;15/09/2021;2;0.583;
AAA;15/09/2021;3;0.752;
AAA;15/09/2021;4;0.168;
AAA;15/09/2021;5;0.16;
AAA;15/09/2021;6;0.16;
AAA;15/09/2021;7;0.167;
AAA;15/09/2021;8;0.28;
AAA;15/09/2021;9;0.302;
AAA;15/09/2021;10;0.307;
AAA;15/09/2021;11;0.245;
AAA;15/09/2021;12;0.219;
AAA;15/09/2021;13;0.219;
AAA;15/09/2021;14;0.808;
AAA;15/09/2021;15;0.38;
AAA;15/09/2021;16;0.185;
AAA;15/09/2021;17;0.362;
AAA;15/09/2021;18;0.294;
AAA;15/09/2021;19;0.271;
AAA;15/09/2021;20;0.312;
AAA;15/09/2021;21;0.533;
AAA;15/09/2021;22;0.342;
AAA;15/09/2021;23;1.15;
AAA;15/09/2021;24;2.052;
AAA;16/09/2021;1;0.543;
AAA;16/09/2021;2;0.194;
AAA;16/09/2021;3;0.182;
AAA;16/09/2021;4;0.192;
AAA;16/09/2021;5;0.197;
AAA;16/09/2021;6;0.185;
AAA;16/09/2021;7;0.176;
AAA;16/09/2021;8;0.284;
AAA;16/09/2021;9;0.195;
AAA;16/09/2021;10;0.034;
AAA;16/09/2021;11;0.259;
AAA;16/09/2021;12;0.319;
AAA;16/09/2021;13;0.275;
AAA;16/09/2021;14;1.228;
AAA;16/09/2021;15;0.469;
AAA;16/09/2021;16;0.214;
AAA;16/09/2021;17;0.226;
AAA;16/09/2021;18;0.23;
AAA;16/09/2021;19;0.175;
AAA;16/09/2021;20;0.195;
AAA;16/09/2021;21;0.156;
AAA;16/09/2021;22;0.159;
AAA;16/09/2021;23;0.341;
AAA;16/09/2021;24;0.351;
AAA;17/09/2021;1;0.126;
AAA;17/09/2021;2;0.191;
AAA;17/09/2021;3;0.188;
AAA;17/09/2021;4;0.176;
AAA;17/09/2021;5;0.162;
AAA;17/09/2021;6;0.138;
AAA;17/09/2021;7;0.159;
AAA;17/09/2021;8;0.153;
AAA;17/09/2021;9;0.398;
AAA;17/09/2021;10;3.722;
AAA;17/09/2021;11;3.692;
AAA;17/09/2021;12;3.786;
AAA;17/09/2021;13;3.792;
AAA;17/09/2021;14;3.691;
AAA;17/09/2021;15;4.058;
AAA;17/09/2021;16;3.67;
AAA;17/09/2021;17;3.707;
AAA;17/09/2021;18;0.289;
AAA;17/09/2021;19;0.54;
AAA;17/09/2021;20;0.157;
AAA;17/09/2021;21;0.167;
AAA;17/09/2021;22;0.163;
AAA;17/09/2021;23;0.249;
AAA;17/09/2021;24;0.273;
AAA;18/09/2021;1;0.054;
AAA;18/09/2021;2;0.172;
AAA;18/09/2021;3;0.129;
AAA;18/09/2021;4;0.201;
AAA;18/09/2021;5;0.171;
AAA;18/09/2021;6;0.177;
AAA;18/09/2021;7;0.255;
AAA;18/09/2021;8;0.159;
AAA;18/09/2021;9;0.16;
AAA;18/09/2021;10;3.724;
AAA;18/09/2021;11;3.757;
AAA;18/09/2021;12;3.697;
AAA;18/09/2021;13;4.053;
AAA;18/09/2021;14;5.269;
AAA;18/09/2021;15;4.47;
AAA;18/09/2021;16;1.474;
AAA;18/09/2021;17;0.263;
AAA;18/09/2021;18;0.345;
AAA;18/09/2021;19;0.297;
AAA;18/09/2021;20;0.346;
AAA;18/09/2021;21;0.269;
AAA;18/09/2021;22;0.54;
AAA;18/09/2021;23;0.189;
AAA;18/09/2021;24;0.21;
AAA;19/09/2021;1;0.631;
AAA;19/09/2021;2;0.655;
AAA;19/09/2021;3;0.635;
AAA;19/09/2021;4;0.165;
AAA;19/09/2021;5;0.156;
AAA;19/09/2021;6;0.163;
AAA;19/09/2021;7;0.194;
AAA;19/09/2021;8;0.183;
AAA;19/09/2021;9;0.398;
AAA;19/09/2021;10;0.263;
AAA;19/09/2021;11;0.2;
AAA;19/09/2021;12;0.28;
AAA;19/09/2021;13;0.418;
AAA;19/09/2021;14;0.4;
AAA;19/09/2021;15;0.894;
AAA;19/09/2021;16;0.199;
AAA;19/09/2021;17;0.197;
AAA;19/09/2021;18;0.331;
AAA;19/09/2021;19;0.254;
AAA;19/09/2021;20;0.264;
AAA;19/09/2021;21;0.25;
AAA;19/09/2021;22;0.464;
AAA;19/09/2021;23;0.294;
AAA;19/09/2021;24;0.331;
AAA;20/09/2021;1;0.183;
AAA;20/09/2021;2;0.157;
AAA;20/09/2021;3;0.148;
AAA;20/09/2021;4;0.147;
AAA;20/09/2021;5;0.174;
AAA;20/09/2021;6;0.234;
AAA;20/09/2021;7;0.152;
AAA;20/09/2021;8;0.239;
AAA;20/09/2021;9;0.204;
AAA;20/09/2021;10;0.235;
AAA;20/09/2021;11;0.175;
AAA;20/09/2021;12;0.215;
AAA;20/09/2021;13;0.222;
AAA;20/09/2021;14;0.542;
AAA;20/09/2021;15;0.208;
AAA;20/09/2021;16;0.305;
AAA;20/09/2021;17;0.225;
AAA;20/09/2021;18;0.209;
AAA;20/09/2021;19;0.215;
AAA;20/09/2021;20;0.156;
AAA;20/09/2021;21;0.573;
AAA;20/09/2021;22;0.516;
AAA;20/09/2021;23;0.379;
AAA;20/09/2021;24;0.34;
AAA;21/09/2021;1;0.017;
AAA;21/09/2021;2;0.14;
AAA;21/09/2021;3;0.169;
AAA;21/09/2021;4;0.168;
AAA;21/09/2021;5;0.196;
AAA;21/09/2021;6;0.157;
AAA;21/09/2021;7;0.128;
AAA;21/09/2021;8;0.226;
AAA;21/09/2021;9;0.487;
AAA;21/09/2021;10;3.72;
AAA;21/09/2021;11;3.729;
AAA;21/09/2021;12;3.749;
AAA;21/09/2021;13;3.976;
AAA;21/09/2021;14;4.447;
AAA;21/09/2021;15;3.71;
AAA;21/09/2021;16;4.132;
AAA;21/09/2021;17;4.766;
AAA;21/09/2021;18;0.743;
AAA;21/09/2021;19;0.207;
AAA;21/09/2021;20;0.191;
AAA;21/09/2021;21;0.218;
AAA;21/09/2021;22;0.224;
AAA;21/09/2021;23;0.204;
AAA;21/09/2021;24;0.425;
AAA;22/09/2021;1;0.201;
AAA;22/09/2021;2;0.179;
AAA;22/09/2021;3;0.159;
AAA;22/09/2021;4;0.186;
AAA;22/09/2021;5;0.15;
AAA;22/09/2021;6;0.246;
AAA;22/09/2021;7;0.179;
AAA;22/09/2021;8;0.233;
AAA;22/09/2021;9;0.297;
AAA;22/09/2021;10;0.227;
AAA;22/09/2021;11;0.218;
AAA;22/09/2021;12;0.282;
AAA;22/09/2021;13;0.202;
AAA;22/09/2021;14;0.371;
AAA;22/09/2021;15;1.815;
AAA;22/09/2021;16;0.329;
AAA;22/09/2021;17;0.186;
AAA;22/09/2021;18;0.246;
AAA;22/09/2021;19;0.219;
AAA;22/09/2021;20;0.297;
AAA;22/09/2021;21;0.504;
AAA;22/09/2021;22;0.389;
AAA;22/09/2021;23;0.703;
AAA;22/09/2021;24;0.309;
AAA;23/09/2021;1;0.194;
AAA;23/09/2021;2;0.169;
AAA;23/09/2021;3;0.154;
AAA;23/09/2021;4;0.146;
AAA;23/09/2021;5;0.165;
AAA;23/09/2021;6;0.171;
AAA;23/09/2021;7;0.166;
AAA;23/09/2021;8;0.241;
AAA;23/09/2021;9;0.35;
AAA;23/09/2021;10;0.195;
AAA;23/09/2021;11;0.306;
AAA;23/09/2021;12;0.414;
AAA;23/09/2021;13;0.462;
AAA;23/09/2021;14;0.819;
AAA;23/09/2021;15;0.69;
AAA;23/09/2021;16;0.215;
AAA;23/09/2021;17;0.461;
AAA;23/09/2021;18;0.196;
AAA;23/09/2021;19;0.297;
AAA;23/09/2021;20;0.628;
AAA;23/09/2021;21;0.489;
AAA;23/09/2021;22;0.37;
AAA;23/09/2021;23;0.335;
AAA;23/09/2021;24;0.61;
AAA;24/09/2021;1;0.149;
AAA;24/09/2021;2;0.748;
AAA;24/09/2021;3;0.232;
AAA;24/09/2021;4;0.172;
AAA;24/09/2021;5;0.189;
AAA;24/09/2021;6;0.165;
AAA;24/09/2021;7;0.151;
AAA;24/09/2021;8;0.255;
AAA;24/09/2021;9;0.48;
AAA;24/09/2021;10;3.773;
AAA;24/09/2021;11;3.724;
AAA;24/09/2021;12;3.717;
AAA;24/09/2021;13;3.708;
AAA;24/09/2021;14;3.809;
AAA;24/09/2021;15;3.709;
AAA;24/09/2021;16;3.667;
AAA;24/09/2021;17;3.882;
AAA;24/09/2021;18;0.228;
AAA;24/09/2021;19;0.244;
AAA;24/09/2021;20;0.239;
AAA;24/09/2021;21;0.235;
AAA;24/09/2021;22;0.31;
AAA;24/09/2021;23;0.372;
AAA;24/09/2021;24;0.317;
AAA;25/09/2021;1;0.191;
AAA;25/09/2021;2;0.15;
AAA;25/09/2021;3;0.166;
AAA;25/09/2021;4;0.167;
AAA;25/09/2021;5;0.146;
AAA;25/09/2021;6;0.145;
AAA;25/09/2021;7;0.189;
AAA;25/09/2021;8;0.15;
AAA;25/09/2021;9;0.237;
AAA;25/09/2021;10;0.464;
AAA;25/09/2021;11;0.455;
AAA;25/09/2021;12;0.377;
AAA;25/09/2021;13;0.404;
AAA;25/09/2021;14;0.367;
AAA;25/09/2021;15;0.225;
AAA;25/09/2021;16;0.211;
AAA;25/09/2021;17;3.182;
AAA;25/09/2021;18;3.789;
AAA;25/09/2021;19;4.166;
AAA;25/09/2021;20;3.65;
AAA;25/09/2021;21;3.9;
AAA;25/09/2021;22;3.819;
AAA;25/09/2021;23;3.8;
AAA;25/09/2021;24;3.719;
AAA;26/09/2021;1;1.948;
AAA;26/09/2021;2;0.155;
AAA;26/09/2021;3;0.224;
AAA;26/09/2021;4;0.177;
AAA;26/09/2021;5;0.15;
AAA;26/09/2021;6;0.15;
AAA;26/09/2021;7;0.165;
AAA;26/09/2021;8;0.186;
AAA;26/09/2021;9;0.284;
AAA;26/09/2021;10;0.41;
AAA;26/09/2021;11;0.176;
AAA;26/09/2021;12;0.168;
AAA;26/09/2021;13;0.17;
AAA;26/09/2021;14;0.183;
AAA;26/09/2021;15;0.165;
AAA;26/09/2021;16;0.191;
AAA;26/09/2021;17;0.17;
AAA;26/09/2021;18;0.255;
AAA;26/09/2021;19;0.268;
AAA;26/09/2021;20;0.449;
AAA;26/09/2021;21;0.694;
AAA;26/09/2021;22;0.483;
AAA;26/09/2021;23;0.625;
AAA;26/09/2021;24;0.29;
AAA;27/09/2021;1;0.246;
AAA;27/09/2021;2;0.157;
AAA;27/09/2021;3;0.143;
AAA;27/09/2021;4;0.166;
AAA;27/09/2021;5;0.142;
AAA;27/09/2021;6;0.159;
AAA;27/09/2021;7;0.153;
AAA;27/09/2021;8;0.187;
AAA;27/09/2021;9;0.304;
AAA;27/09/2021;10;0.209;
AAA;27/09/2021;11;0.249;
AAA;27/09/2021;12;0.202;
AAA;27/09/2021;13;0.183;
AAA;27/09/2021;14;0.491;
AAA;27/09/2021;15;0.193;
AAA;27/09/2021;16;0.277;
AAA;27/09/2021;17;0.185;
AAA;27/09/2021;18;0.298;
AAA;27/09/2021;19;0.2;
AAA;27/09/2021;20;0.212;
AAA;27/09/2021;21;0.34;
AAA;27/09/2021;22;0.292;
AAA;27/09/2021;23;0.366;
AAA;27/09/2021;24;0.224;
AAA;28/09/2021;1;0.03;
AAA;28/09/2021;2;0.178;
AAA;28/09/2021;3;0.143;
AAA;28/09/2021;4;0.168;
AAA;28/09/2021;5;0.181;
AAA;28/09/2021;6;0.222;
AAA;28/09/2021;7;0.129;
AAA;28/09/2021;8;0.237;
AAA;28/09/2021;9;0.543;
AAA;28/09/2021;10;3.772;
AAA;28/09/2021;11;3.733;
AAA;28/09/2021;12;3.674;
AAA;28/09/2021;13;3.803;
AAA;28/09/2021;14;4.212;
AAA;28/09/2021;15;4.71;
AAA;28/09/2021;16;4.366;
AAA;28/09/2021;17;3.768;
AAA;28/09/2021;18;0.26;
AAA;28/09/2021;19;0.43;
AAA;28/09/2021;20;0.298;
AAA;28/09/2021;21;0.426;
AAA;28/09/2021;22;0.467;
AAA;28/09/2021;23;0.411;
AAA;28/09/2021;24;0.35;
AAA;29/09/2021;1;0.24;
AAA;29/09/2021;2;0.184;
AAA;29/09/2021;3;0.224;
AAA;29/09/2021;4;0.172;
AAA;29/09/2021;5;0.182;
AAA;29/09/2021;6;0.178;
AAA;29/09/2021;7;0.186;
AAA;29/09/2021;8;0.28;
AAA;29/09/2021;9;0.378;
AAA;29/09/2021;10;0.208;
AAA;29/09/2021;11;0.255;
AAA;29/09/2021;12;0.307;
AAA;29/09/2021;13;0.347;
AAA;29/09/2021;14;0.3;
AAA;29/09/2021;15;1.178;
AAA;29/09/2021;16;0.811;
AAA;29/09/2021;17;1.193;
AAA;29/09/2021;18;0.54;
AAA;29/09/2021;19;0.345;
AAA;29/09/2021;20;0.231;
AAA;29/09/2021;21;0.479;
AAA;29/09/2021;22;0.392;
AAA;29/09/2021;23;0.349;
AAA;29/09/2021;24;0.32;
AAA;30/09/2021;1;0.218;
AAA;30/09/2021;2;0.169;
AAA;30/09/2021;3;0.233;
AAA;30/09/2021;4;0.175;
AAA;30/09/2021;5;0.156;
AAA;30/09/2021;6;0.161;
AAA;30/09/2021;7;0.158;
AAA;30/09/2021;8;0.293;
AAA;30/09/2021;9;0.316;
AAA;30/09/2021;10;0.302;
AAA;30/09/2021;11;0.661;
AAA;30/09/2021;12;0.339;
AAA;30/09/2021;13;0.342;
AAA;30/09/2021;14;1.179;
AAA;30/09/2021;15;0.74;
AAA;30/09/2021;16;0.236;
AAA;30/09/2021;17;0.23;
AAA;30/09/2021;18;0.217;
AAA;30/09/2021;19;0.199;
AAA;30/09/2021;20;0.216;
AAA;30/09/2021;21;0.716;
AAA;30/09/2021;22;0.328;
AAA;30/09/2021;23;0.544;
AAA;30/09/2021;24;0.631;
AAA;01/10/2021;1;0.093;
AAA;01/10/2021;2;0.147;
AAA;01/10/2021;3;0.183;
AAA;01/10/2021;4;0.155;
AAA;01/10/2021;5;0.164;
AAA;01/10/2021;6;1.885;
AAA;01/10/2021;7;0.155;
AAA;01/10/2021;8;0.368;
AAA;01/10/2021;9;0.357;
AAA;01/10/2021;10;4.119;
AAA;01/10/2021;11;4.319;
AAA;01/10/2021;12;4.587;
AAA;01/10/2021;13;3.926;
AAA;01/10/2021;14;3.969;
AAA;01/10/2021;15;0.354;
AAA;01/10/2021;16;0.522;
AAA;01/10/2021;17;0.113;
AAA;01/10/2021;18;0.206;
AAA;01/10/2021;19;0.172;
AAA;01/10/2021;20;0.229;
AAA;01/10/2021;21;0.53;
AAA;01/10/2021;22;0.241;
AAA;01/10/2021;23;0.294;
AAA;01/10/2021;24;0.319;
AAA;02/10/2021;1;0.214;
AAA;02/10/2021;2;0.17;
AAA;02/10/2021;3;0.213;
AAA;02/10/2021;4;0.184;
AAA;02/10/2021;5;0.159;
AAA;02/10/2021;6;0.151;
AAA;02/10/2021;7;0.201;
AAA;02/10/2021;8;0.149;
AAA;02/10/2021;9;0.394;
AAA;02/10/2021;10;0.162;
AAA;02/10/2021;11;0.178;
AAA;02/10/2021;12;0.286;
AAA;02/10/2021;13;0.524;
AAA;02/10/2021;14;0.345;
AAA;02/10/2021;15;0.451;
AAA;02/10/2021;16;0.364;
AAA;02/10/2021;17;0.428;
AAA;02/10/2021;18;0.292;
AAA;02/10/2021;19;0.174;
AAA;02/10/2021;20;0.148;
AAA;02/10/2021;21;0.253;
AAA;02/10/2021;22;0.188;
AAA;02/10/2021;23;0.201;
AAA;02/10/2021;24;0.148;
AAA;03/10/2021;1;0.17;
AAA;03/10/2021;2;0.174;
AAA;03/10/2021;3;0.18;
AAA;03/10/2021;4;0.151;
AAA;03/10/2021;5;0.169;
