CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000004676798CK;08/05/2021;18;0,174;R
ES0021000004676798CK;08/05/2021;19;0,634;R
ES0021000004676798CK;08/05/2021;20;1,548;R
ES0021000004676798CK;08/05/2021;21;1,408;R
ES0021000004676798CK;08/05/2021;22;0,439;R
ES0021000004676798CK;08/05/2021;23;0,131;R
ES0021000004676798CK;08/05/2021;24;0,135;R
ES0021000004676798CK;09/05/2021;1;0,125;R
ES0021000004676798CK;09/05/2021;2;0,145;R
ES0021000004676798CK;09/05/2021;3;0,15;R
ES0021000004676798CK;09/05/2021;4;0,228;R
ES0021000004676798CK;09/05/2021;5;0,147;R
ES0021000004676798CK;09/05/2021;6;0,144;R
ES0021000004676798CK;09/05/2021;7;0,143;R
ES0021000004676798CK;09/05/2021;8;0,121;R
ES0021000004676798CK;09/05/2021;9;0,116;R
ES0021000004676798CK;09/05/2021;10;0,147;R
ES0021000004676798CK;09/05/2021;11;0,186;R
ES0021000004676798CK;09/05/2021;12;0,123;R
ES0021000004676798CK;09/05/2021;13;0,12;R
ES0021000004676798CK;09/05/2021;14;0,147;R
ES0021000004676798CK;09/05/2021;15;0,146;R
ES0021000004676798CK;09/05/2021;16;0,119;R
ES0021000004676798CK;09/05/2021;17;0,134;R
ES0021000004676798CK;09/05/2021;18;0,173;R
ES0021000004676798CK;09/05/2021;19;0,213;R
ES0021000004676798CK;09/05/2021;20;0,182;R
ES0021000004676798CK;09/05/2021;21;1,252;R
ES0021000004676798CK;09/05/2021;22;0,472;R
ES0021000004676798CK;09/05/2021;23;0,299;R
ES0021000004676798CK;09/05/2021;24;0,876;R
ES0021000004676798CK;10/05/2021;1;0,407;R
ES0021000004676798CK;10/05/2021;2;0,186;R
ES0021000004676798CK;10/05/2021;3;0,162;R
ES0021000004676798CK;10/05/2021;4;0,172;R
ES0021000004676798CK;10/05/2021;5;0,162;R
ES0021000004676798CK;10/05/2021;6;0,111;R
ES0021000004676798CK;10/05/2021;7;0,524;R
ES0021000004676798CK;10/05/2021;8;1,703;R
ES0021000004676798CK;10/05/2021;9;1,26;R
ES0021000004676798CK;10/05/2021;10;0,745;R
ES0021000004676798CK;10/05/2021;11;0,146;R
ES0021000004676798CK;10/05/2021;12;0,208;R
ES0021000004676798CK;10/05/2021;13;0,127;R
ES0021000004676798CK;10/05/2021;14;0,146;R
ES0021000004676798CK;10/05/2021;15;0,151;R
ES0021000004676798CK;10/05/2021;16;0,132;R
ES0021000004676798CK;10/05/2021;17;0,314;R
ES0021000004676798CK;10/05/2021;18;0,158;R
ES0021000004676798CK;10/05/2021;19;0,138;R
ES0021000004676798CK;10/05/2021;20;0,151;R
ES0021000004676798CK;10/05/2021;21;1,382;R
ES0021000004676798CK;10/05/2021;22;0,56;R
ES0021000004676798CK;10/05/2021;23;1,067;R
ES0021000004676798CK;10/05/2021;24;0,374;R
ES0021000004676798CK;11/05/2021;1;0,196;R
ES0021000004676798CK;11/05/2021;2;0,229;R
ES0021000004676798CK;11/05/2021;3;0,136;R
ES0021000004676798CK;11/05/2021;4;0,159;R
ES0021000004676798CK;11/05/2021;5;0,157;R
ES0021000004676798CK;11/05/2021;6;0,151;R
ES0021000004676798CK;11/05/2021;7;0,115;R
ES0021000004676798CK;11/05/2021;8;0,168;R
ES0021000004676798CK;11/05/2021;9;0,149;R
ES0021000004676798CK;11/05/2021;10;0,126;R
ES0021000004676798CK;11/05/2021;11;0,152;R
ES0021000004676798CK;11/05/2021;12;0,166;R
ES0021000004676798CK;11/05/2021;13;0,079;R
ES0021000004676798CK;11/05/2021;14;0,063;R
ES0021000004676798CK;11/05/2021;15;0,07;R
ES0021000004676798CK;11/05/2021;16;0,069;R
ES0021000004676798CK;11/05/2021;17;0,158;R
ES0021000004676798CK;11/05/2021;18;0,113;R
ES0021000004676798CK;11/05/2021;19;0,105;R
ES0021000004676798CK;11/05/2021;20;0,614;R
ES0021000004676798CK;11/05/2021;21;0,535;R
ES0021000004676798CK;11/05/2021;22;0,162;R
ES0021000004676798CK;11/05/2021;23;0,266;R
ES0021000004676798CK;11/05/2021;24;0,245;R
ES0021000004676798CK;12/05/2021;1;0,156;R
ES0021000004676798CK;12/05/2021;2;0,24;R
ES0021000004676798CK;12/05/2021;3;0,098;R
